price,m2,age,floor,district,neighbor,total_room
2229999,110,0,1.0,Beylikdüzü,Marmara Mah.,3
2650000,90,0,4.0,Esenyurt,Güzelyurt Mah.,2
3449999,130,0,2.0,Beylikdüzü,Adnan Kahveci Mah.,3
5475000,125,21,4.0,Pendik,Harmandere Mah.,3
3450980,110,0,1.0,Beylikdüzü,Adnan Kahveci Mah.,2
8250000,70,0,1.0,Maltepe,Küçükyalı Mah.,3
3350000,155,0,2.0,Beylikdüzü,Adnan Kahveci Mah.,4
3599000,220,0,3.0,Beylikdüzü,Marmara Mah.,4
3000000,115,0,2.0,Beylikdüzü,Adnan Kahveci Mah.,3
2199999,120,0,3.0,Beylikdüzü,Adnan Kahveci Mah.,3
3899999,160,0,1.0,Beylikdüzü,Marmara Mah.,4
2650000,105,0,1.0,Beylikdüzü,Kavaklı Mah.,3
2883000,115,0,3.0,Beylikdüzü,Adnan Kahveci Mah.,3
4999000,125,0,2.0,Beylikdüzü,Adnan Kahveci Mah.,3
2450000,100,0,1.0,Beylikdüzü,Beylikdüzü OSB Mah.,3
5550000,180,11,5.0,Beylikdüzü,Adnan Kahveci Mah.,4
3050000,120,0,2.0,Beylikdüzü,Yakuplu Mah.,3
2999000,100,0,2.0,Beylikdüzü,Adnan Kahveci Mah.,3
4999000,180,0,3.0,Beylikdüzü,Adnan Kahveci Mah.,5
3749000,120,0,3.0,Beylikdüzü,Adnan Kahveci Mah.,3
5570000,185,5,8.0,Beylikdüzü,Adnan Kahveci Mah.,4
13000000,120,3,0.5,Şişli,Feriköy Mah.,4
3600000,80,4,0.0,Tuzla,İçmeler Mah.,3
11350000,270,10,5.0,Tuzla,İstasyon Mah.,6
5039999,180,10,6.0,Beylikdüzü,Barış Mah.,4
3399999,190,0,0.0,Beylikdüzü,Adnan Kahveci Mah.,5
1345000,95,3,0.0,Esenyurt,Talatpaşa Mah.,2
1680000,90,0,4.0,Beylikdüzü,Cumhuriyet Mah.,2
11750000,115,0,2.0,Üsküdar,Aziz Mahmut Hüdayi Mah.,4
2699999,115,0,2.0,Beylikdüzü,Beylikdüzü OSB Mah.,3
6849999,220,0,3.0,Beylikdüzü,Kavaklı Mah.,7
2799999,90,0,0.0,Beylikdüzü,Adnan Kahveci Mah.,2
4950000,85,0,2.0,Güngören,Güneştepe Mah.,3
14000000,150,35,1.0,Beşiktaş,Konaklar Mah.,4
38000000,210,15,3.0,Eyüpsultan,Göktürk Merkez Mah.,4
39000000,180,4,1.0,Kadıköy,Caddebostan Mah.,4
30750000,240,11,0.0,Sarıyer,Uskumruköy Mah.,5
3999999,160,0,2.0,Beylikdüzü,Adnan Kahveci Mah.,4
3749999,160,0,6.0,Beylikdüzü,Barış Mah.,4
2350000,110,10,3.0,Beylikdüzü,Cumhuriyet Mah.,3
1658000,110,4,3.0,Esenyurt,Talatpaşa Mah.,3
19800000,165,75,0.5,Beyoğlu,Cihangir Mah.,4
2790000,110,1,1.0,Beylikdüzü,Cumhuriyet Mah.,3
1569999,80,7,3.0,Beylikdüzü,Cumhuriyet Mah.,2
4750000,139,19,3.0,Esenler,Nine Hatun Mah.,4
2199999,110,5,2.0,Esenyurt,Yeşilkent Mah.,3
