,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
0,2229999,110,0,1.0,3,4970295.55403868,6487466.45
1,2650000,90,0,4.0,2,2769582.4657534244,2487814.777777778
2,3449999,130,0,2.0,3,4970295.55403868,6057293.357798165
3,5475000,125,21,4.0,3,5848907.837837838,7428125.0
4,3450980,110,0,1.0,2,4970295.55403868,6057293.357798165
6,3350000,155,0,2.0,4,4970295.55403868,6057293.357798165
7,3599000,220,0,3.0,4,4970295.55403868,6487466.45
8,3000000,115,0,2.0,3,4970295.55403868,6057293.357798165
9,2199999,120,0,3.0,3,4970295.55403868,6057293.357798165
10,3899999,160,0,1.0,4,4970295.55403868,6487466.45
11,2650000,105,0,1.0,3,4970295.55403868,5269146.553333334
12,2883000,115,0,3.0,3,4970295.55403868,6057293.357798165
13,4999000,125,0,2.0,3,4970295.55403868,6057293.357798165
15,5550000,180,11,5.0,4,4970295.55403868,6057293.357798165
16,3050000,120,0,2.0,3,4970295.55403868,3526234.2890625
17,2999000,100,0,2.0,3,4970295.55403868,6057293.357798165
18,4999000,180,0,3.0,5,4970295.55403868,6057293.357798165
19,3749000,120,0,3.0,3,4970295.55403868,6057293.357798165
20,5570000,185,5,8.0,4,4970295.55403868,6057293.357798165
22,3600000,80,4,0.0,3,5877304.964539007,3320000.0
24,5039999,180,10,6.0,4,4970295.55403868,6134857.085714285
25,3399999,190,0,0.0,5,4970295.55403868,6057293.357798165
26,1450000,95,3,0.0,2,2769582.4657534244,4107124.9583333335
27,1680000,90,0,4.0,2,4970295.55403868,4676827.383297645
28,11750000,115,0,2.0,4,11259699.059561128,11277812.5
29,2699999,115,0,2.0,3,4970295.55403868,1957914.2571428567
30,6849999,220,0,3.0,7,4970295.55403868,5269146.553333334
31,2799999,90,0,0.0,2,4970295.55403868,6057293.357798165
33,14000000,150,35,1.0,4,18840772.21851852,19612500.0
36,30750000,240,11,0.0,5,20111125.68306011,24458333.33333333
37,3999999,160,0,2.0,4,4970295.55403868,6057293.357798165
38,3749999,160,0,6.0,4,4970295.55403868,6134857.085714285
39,2350000,110,10,3.0,3,4970295.55403868,4676827.383297645
40,1658000,110,4,3.0,3,2769582.4657534244,4107124.9583333335
41,2790000,110,1,1.0,3,4970295.55403868,4676827.383297645
42,1569999,80,7,3.0,2,4970295.55403868,4676827.383297645
43,4750000,139,19,3.0,4,3909949.1525423727,3547976.1904761903
44,2199999,110,5,2.0,3,2769582.4657534244,2551203.6481481483
45,6299999,180,10,0.0,4,4970295.55403868,6057293.357798165
46,3979999,165,0,3.0,4,4970295.55403868,6057293.357798165
47,1750000,110,16,2.0,2,2769582.4657534244,3785787.8484848486
48,2600000,105,0,4.0,3,4970295.55403868,4676827.383297645
49,2999999,115,5,2.0,3,4970295.55403868,6057293.357798165
50,4999999,150,0,1.0,4,4970295.55403868,6057293.357798165
51,4799999,175,0,2.0,4,4970295.55403868,5269146.553333334
52,5300000,140,5,2.0,3,4970295.55403868,6057293.357798165
53,4790000,190,0,7.0,4,4970295.55403868,6134857.085714285
54,1450000,80,4,6.0,2,2769582.4657534244,2551203.6481481483
55,2300000,115,4,10.0,3,4970295.55403868,3955500.0
56,6750000,160,20,7.0,4,4970295.55403868,6057293.357798165
57,3999000,100,0,1.0,3,4970295.55403868,6057293.357798165
58,3649000,125,0,3.0,3,4970295.55403868,6057293.357798165
59,1500000,90,5,0.0,3,2769582.4657534244,3785787.8484848486
60,3180000,110,5,2.0,3,2769582.4657534244,2284526.263157895
61,2775000,110,5,4.0,3,2769582.4657534244,2551203.6481481483
62,12800000,95,5,4.0,3,18766793.31306991,17185621.62162162
63,8750000,200,6,0.0,6,4970295.55403868,6794736.52631579
64,2225000,109,4,2.0,3,4970295.55403868,3526234.2890625
66,2099999,130,8,3.0,3,2769582.4657534244,2304849.7333333334
67,1899000,105,2,1.0,3,2769582.4657534244,2241192.821428572
68,2400000,210,5,0.5,4,2769582.4657534244,2487814.777777778
69,3190000,203,0,0.0,6,2769582.4657534244,3901777.777777778
70,2475000,105,0,2.0,3,4970295.55403868,1957914.2571428567
71,5950000,85,4,12.0,3,9683732.91925466,15495000.0
72,1580000,125,0,0.0,4,2769582.4657534244,2347083.333333333
75,4000000,110,35,2.0,3,4254808.612440191,4063465.3465346536
76,5500000,70,0,1.0,2,11259699.059561128,15854853.658536583
77,24000000,220,0,5.0,7,11259699.059561128,12699506.787330316
78,5975000,65,4,0.0,2,7962301.739130435,9215404.624277456
81,4400000,95,0,0.5,3,6559200.238609113,4988341.164705883
82,3300000,115,16,0.0,3,8508896.555172414,5710389.610389611
83,2725000,100,31,5.0,3,9683732.91925466,4235833.333333333
84,3800000,85,26,2.0,3,5547095.228571429,8475000.0
86,4400000,105,12,1.0,3,5749051.802409639,4267661.957746479
90,12500000,175,0,4.0,5,7962301.739130435,7948520.599250936
91,11000000,115,0,1.0,4,7962301.739130435,8532544.827586208
92,9400000,115,12,2.0,4,7962301.739130435,7841056.338028169
93,4350000,63,0,2.0,2,5877304.964539007,5730666.666666667
94,12000000,85,5,6.0,2,20111125.68306011,16373294.871794872
98,25950000,225,34,7.0,5,18766793.31306991,26454424.778761063
99,6900000,145,0,3.0,5,5367273.031914894,7909529.411764706
100,19750000,105,3,8.0,3,18766793.31306991,26454424.778761063
102,37500000,220,31,12.0,4,18766793.31306991,26454424.778761063
103,15500000,220,0,6.0,5,11259699.059561128,14020000.0
104,22850000,120,15,13.0,4,18766793.31306991,28832777.777777776
105,10000000,275,4,5.0,4,7437451.282051282,8075000.0
106,2900000,85,11,0.0,3,7340518.640677966,6367307.692307692
107,4450000,58,4,6.0,2,5749051.802409639,10140060.606060604
109,7500000,85,3,3.0,3,18840772.21851852,19612500.0
111,35000000,225,20,5.0,5,18840772.21851852,32659285.71428572
112,19750000,140,0,6.0,4,18766793.31306991,20307026.315789472
113,1600000,95,9,1.0,3,2769582.4657534244,2551203.6481481483
114,3350000,140,20,0.0,4,6559200.238609113,4249098.484848484
115,7700000,130,30,4.0,4,6559200.238609113,12699506.787330316
116,7500000,150,1,4.0,4,7754128.301886792,6326666.666666667
118,5500000,110,14,1.0,4,7962301.739130435,5809861.111111111
119,9350000,105,3,3.0,4,7962301.739130435,9215404.624277456
120,4930000,90,15,2.0,3,7962301.739130435,5809861.111111111
121,41000000,260,0,12.0,6,18766793.31306991,20307026.315789472
122,4500000,150,26,1.0,4,4970295.55403868,4676827.383297645
123,2525000,125,26,1.0,4,4138010.251282051,6994235.820895523
124,34000000,200,35,2.0,4,18840772.21851852,33583333.333333336
125,17000000,165,40,5.0,4,8397364.775800712,19534782.60869565
126,1800000,110,30,-0.5,3,4547597.902097902,3187916.6666666665
127,12100000,180,5,7.0,5,5749051.802409639,10140060.606060604
130,14750000,110,0,3.0,4,18766793.31306991,17185621.62162162
131,4500000,120,11,2.0,4,5297494.923337092,4676827.383297645
132,17900000,145,4,5.0,4,18766793.31306991,15964615.384615384
133,13850000,125,6,0.0,4,18766793.31306991,20307026.315789472
134,13450000,90,15,1.0,2,18766793.31306991,26454424.778761063
